TIPO;ORIGINAL
movie;Good Will Hunting
movie;Dead Poets Society
movie;Life Is Beautiful
show;Billions
show;Friends
show;Last Week Tonight with John Oliver
movie;Avengers: Endgame
movie;Fight Club
movie;Men in Black
show;Breaking Bad
show;Fullmetal Alchemist: Brotherhood
show;Elite
movie;The Invisible Guest
movie;The Purge
show;Money Heist
show;Grey's Anatomy
show;Vis a vis
movie;Coach Carter
movie;Split
movie;Star Wars: Episode III - Revenge of the Sith
show;JoJo's Bizarre Adventure
show;The Promised Neverland
show;Dr. Stone
movie;Inception
movie;Southpaw
movie;Real Steel
show;Breaking Bad
show;Shooter
show;Game of Thrones
movie;Catch Me If You Can
movie;Coach Carter
movie;Inception
show;Game of Thrones
show;Elite
show;Vikings
movie;Shot Caller
movie;John Wick
movie;Invictus
show;Brooklyn Nine-Nine
show;Peaky Blinders
show;Game of Thrones
movie;Interstellar
movie;The Wolf of Wall Street
movie;Inception
show;The Office
show;Narcos
show;Sherlock
movie;12 Years a Slave
movie;The Notebook
movie;La La Land
show;Game of Thrones
show;Brooklyn Nine-Nine
show;Peaky Blinders
movie;Now You See Me
movie;Harry Potter and the Deathly Hallows: Part 2
movie;Forrest Gump
show;Sherlock
show;Brooklyn Nine-Nine
show;Stranger Things
movie;Scarface
movie;Magic Mike XXL
movie;Interstellar
show;Vikings
show;The Walking Dead
show;Detective Conan
movie;The Big Short
movie;BlacKkKlansman
movie;The Irishman
show;Rick and Morty
show;Breaking Bad
show;Vikings
movie;Taxi Driver
movie;The Godfather
movie;Raging Bull
show;Band of Brothers
show;The Pacific
show;Breaking Bad
movie;Interstellar
movie;The Matrix
movie;WALL.E
show;Cosmos: A Spacetime Odyssey
show;Rick and Morty
show;Neon Genesis Evangelion
movie;Evangelion: 1.0 You Are (Not) Alone
movie;The Iron Giant
movie;Akira
show;Haikyuu!!
show;March Comes in Like a Lion
show;Bungou Stray Dogs
movie;The Godfather
movie;American History X
movie;City of God
show;Merli
show;Peaky Blinders
show;El Reemplazante
movie;The Godfather
movie;Master and Commander: The Far Side of the World
movie;3:10 to Yuma
show;Chernobyl
show;Suits
show;El Chapulin Colorado
movie;Kingsman: The Secret Service
movie;The Machinist
movie;Slumdog Millionaire
show;Paranoia Agent
show;Paprika
show;Better Call Saul
movie;In Time
movie;The World's Fastest Indian
movie;Hacksaw Ridge
show;The Man in the High Castle
show;The 100
show;Chernobyl
movie;Perdona si te llamo amor
movie;Pretty Woman
movie;Bridget Jones's Diary
show;Friends
show;The Big Bang Theory
show;Jane the Virgin
movie;Everything
movie;The Lion King
movie;The Chronicles of Narnia: The Lion
show;Friends
show;Grey's Anatomy
show;The Walking Dead
movie;Interstellar
movie;Inception
movie;Avengers: Endgame
