Year,Semester,Section,Num in Sec,Facultad,Curriculo
2020,1,9,1,5,50014
2020,1,9,2,5,50004
2020,1,9,3,5,50014
2020,1,9,4,5,50014
2020,1,9,5,5,50014
2020,1,9,6,9,90001
2020,1,9,7,5,50014
2020,1,9,8,5,50014
2020,1,9,9,5,50014
2020,1,9,10,5,50014
2020,1,9,11,5,50014
2020,1,9,12,9,90001
2020,1,9,13,5,50014
2020,1,9,14,5,50014
2020,1,9,15,5,50014
2020,1,9,16,5,50014
2020,1,9,17,5,50014
2020,1,9,18,5,50014
2020,1,9,19,5,50014
2020,1,9,20,5,50014
2020,1,9,21,5,50004
2020,1,9,22,5,50014
2020,1,9,23,5,50014
2020,1,9,24,9,90001
2020,1,9,25,5,50014
2020,1,9,26,5,50014
2020,1,9,27,5,50014
2020,1,9,28,5,50014
2020,1,9,29,5,50014
2020,1,9,30,5,50097
2020,1,9,31,5,50014
2020,1,9,32,5,50014
2020,1,9,33,5,50014
2020,1,9,34,5,50014
2020,1,9,35,5,50014
2020,1,9,36,5,50014
2020,1,9,37,5,50014
2020,1,9,38,5,50014
2020,1,9,39,5,50014
2020,1,9,40,5,50014
2020,1,9,41,5,50014
2020,1,9,42,5,50014
2020,1,9,43,5,50014
2020,1,9,44,5,50014
2020,1,9,45,5,50014
2020,1,9,46,5,50014
2020,1,9,47,5,50014
2020,1,9,48,5,50014
2020,1,9,49,5,50014
2020,1,9,50,5,50014
2020,1,9,51,5,50014
2020,1,9,52,5,50014
2020,1,9,53,9,90001
2020,1,9,54,5,50014
2020,1,9,55,5,50014
2020,1,9,56,5,50014
2020,1,9,57,5,50014
2020,1,9,58,5,50014
2020,1,9,59,9,90001
2020,1,9,60,5,50014
2020,1,9,61,5,50014
2020,1,9,62,5,50014
2020,1,9,63,5,50014
2020,1,9,64,9,90001
2020,1,9,65,5,50014
2020,1,9,66,5,50014
2020,1,9,67,5,50014
2020,1,9,68,5,50014
2020,1,9,69,5,50014
2020,1,9,70,5,50014
2020,1,9,71,9,90001
2020,1,9,72,5,50014
2020,1,9,73,5,50004
2020,1,9,74,5,50014
2020,1,9,75,5,50014
2020,1,9,76,5,50014
2020,1,9,77,5,50014
2020,1,9,78,5,50014
2020,1,9,79,5,50014
2020,1,9,80,5,50014
2020,1,9,81,5,50014
2020,1,9,82,5,50014
2020,1,9,83,5,50014
2020,1,9,84,5,50014
2020,1,9,85,5,50014
2020,1,9,86,5,50014
2020,1,9,87,9,90001
2020,1,9,88,5,50014
2020,1,9,89,5,50004
2020,1,9,90,5,50014
2020,1,9,91,5,50014
2020,1,9,92,5,50014
2020,1,9,93,5,50004
2020,1,9,94,5,50014
2020,1,9,95,5,50014
2020,1,9,96,5,50014
2020,1,9,97,5,50014
2020,1,9,98,5,50014
2020,1,9,99,5,50014
2020,1,9,100,5,50014
2020,1,9,101,5,50014
2020,1,9,102,5,50004
2020,1,9,103,5,50014
2020,1,9,104,5,50014
2020,1,9,105,5,50014
2020,1,4,1,4,40013
2020,1,4,2,9,90001
2020,1,4,3,4,40013
2020,1,4,4,4,40013
2020,1,4,5,4,40013
2020,1,4,6,4,40013
2020,1,4,7,4,40013
2020,1,4,8,4,40013
2020,1,4,9,4,40013
2020,1,4,10,4,40013
2020,1,4,11,9,90001
2020,1,4,12,9,90001
2020,1,4,13,9,90001
2020,1,4,14,5,50004
2020,1,4,15,4,40013
2020,1,4,16,4,40013
2020,1,4,17,2,20101
2020,1,4,18,2,20101
2020,1,4,19,9,90001
2020,1,4,20,4,40013
2020,1,4,21,9,90001
2020,1,4,22,9,90001
2020,1,4,23,9,90001
2020,1,4,24,5,50004
2020,1,4,25,2,20101
2020,1,4,26,9,90001
2020,1,4,27,4,40013
2020,1,4,28,9,90001
