USER;TIPO;CODE;ORIGINAL;SPAIN;LATAM
0;movie;0119217;Good Will Hunting;El indomable Will Hunting (Spain);En busca del destino (Argentina)
0;movie;0097165;Dead Poets Society;El club de los poetas muertos (Spain);La sociedad de los poetas muertos (Argentina)
0;movie;0118799;Life Is Beautiful;La vida es bella (Spain);La vida es bella (Argentina)
0;show;4270492;Billions;Billions (Spain);Billions (Argentina)
0;show;0108778;Friends;Friends (Spain);Friends (Argentina)
0;show;3530232;Last Week Tonight with John Oliver;Last Week Tonight with John Oliver (Spain);ND
1;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
1;movie;0137523;Fight Club;El club de la lucha (Spain);El club de la pelea (Argentina)
1;movie;0119654;Men in Black;Homes de negre (Spain) (Catalan title);Hombres de negro (Argentina)
1;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
1;show;1355642;Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist: Brotherhood (Spain);ND
1;show;7134908;Elite;Élite (Spain);ND
2;movie;4857264;The Invisible Guest;El invitado invisible (Spain) (working title);Contratiempo (Argentina)
2;movie;2184339;The Purge;The Purge: La noche de las bestias (Spain);La noche de la expiación (Chile)
2;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
2;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
2;show;4524056;Vis a vis;Vis a vis (Spain);ND
3;movie;0393162;Coach Carter;Entrenador Carter (Spain);Juego de honor (Argentina) (video title)
3;movie;4972582;Split;Múltiple (Spain);Fragmentado (Chile)
3;movie;0121766;Star Wars: Episode III - Revenge of the Sith;Star Wars: Episodio III - La venganza de los Sith (Spain);Star Wars: Episodio III - La venganza de los Sith (Argentina)
3;show;2359704;JoJo's Bizarre Adventure;ND;JoJo's Bizarre Adventure (Argentina)
3;show;8788458;The Promised Neverland;ND;ND
3;show;9679542;Dr. Stone;ND;ND
4;movie;1375666;Inception;Origen (Spain);El origen (Chile)
4;movie;1798684;Southpaw;Redención (Spain);Revancha (Chile)
4;movie;0433035;Real Steel;Acero puro (Spain);Gigantes de acero (Chile)
4;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
4;show;4181172;Shooter;El tirador (Spain);El tirador (Argentina)
4;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
5;movie;0264464;Catch Me If You Can;Atrápame si puedes (Spain);Atrápame si puedes (Argentina)
5;movie;0393162;Coach Carter;Entrenador Carter (Spain);Juego de honor (Argentina) (video title)
5;movie;1375666;Inception;Origen (Spain);El origen (Chile)
5;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
5;show;7134908;Elite;Élite (Spain);ND
5;show;2306299;Vikings;Vikingos (Spain);Vikingos (Argentina)
6;movie;4633690;Shot Caller;Maestro del crimen (Spain);ND
6;movie;2911666;John Wick;John Wick (Otro día para matar) (Spain);Sin Control (Argentina)
6;movie;1057500;Invictus;Invictus (Spain);Invictus (Chile)
6;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
6;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
6;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
7;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
7;movie;0993846;The Wolf of Wall Street;El lobo de Wall Street (Spain);El lobo de Wall Street (Chile)
7;movie;1375666;Inception;Origen (Spain);El origen (Chile)
7;show;0386676;The Office;The Office (Spain);The Office (Argentina)
7;show;2707408;Narcos;Narcos (Spain);ND
7;show;1475582;Sherlock;Sherlock (Spain);ND
8;movie;2024544;12 Years a Slave;12 años de esclavitud (Spain);12 años de esclavitud (Argentina)
8;movie;0332280;The Notebook;El diario de Noa (Spain);Diario de una pasión (Chile)
8;movie;3783958;La La Land;La ciudad de las estrellas (La La Land) (Spain);La La Land: Ciudad de Sueños (Chile)
8;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
8;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
8;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
9;movie;1670345;Now You See Me;Ahora me ves... (Spain);Los ilusionistas: Nada es lo que parece (Chile)
9;movie;1201607;Harry Potter and the Deathly Hallows: Part 2;Harry Potter y las Reliquias de la Muerte - Parte 2 (Spain);Harry Potter y las Reliquias de la Muerte: Parte 2 (Chile)
9;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
9;show;1475582;Sherlock;Sherlock (Spain);ND
9;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
9;show;4574334;Stranger Things;Stranger Things (Spain);Stranger Things (Argentina)
10;movie;0086250;Scarface;El precio del poder (Spain);Caracortada (Chile)
10;movie;2268016;Magic Mike XXL;Magic Mike XXL (Spain);Magic Mike XXL (Chile)
