USER;TIPO;CODE;ORIGINAL;SPAIN;LATAM
0;movie;3281548;Little Women;Mujercitas (Spain);Mujercitas (Chile)
0;movie;1375666;Inception;Origen (Spain);El origen (Chile)
0;movie;0264150;View from the Top;Amor en el aire (Spain);Volando alto (Argentina)
0;show;0413573;Grey's Anatomy;Anatomía de Grey (Spain);Grey's Anatomy (Argentina)
0;show;3281548;Little Women;Mujercitas (Spain);Mujercitas (Chile)
0;show;6468322;Money Heist;La Casa de Papel: Parte 3 (Spain) (third season title);ND
1;movie;0414387;Pride & Prejudice;Pride & Prejudice (Orgullo y prejuicio) (Spain);Orgullo y prejuicio (Argentina)
1;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
1;movie;5726616;Call Me by Your Name;Call Me by Your Name (Spain);Llámame por tu nombre (Chile)
1;show;5421602;Anne with an E;Anne with an E (Spain);Anne with an E (Argentina)
1;show;1475582;Sherlock;Sherlock (Spain);ND
1;show;7569592;Chilling Adventures of Sabrina;Las escalofriantes aventuras de Sabrina (Spain);El mundo oculto de Sabrina (Argentina)
2;movie;2980516;The Theory of Everything;La teoría del todo (Spain);La teoría del todo (Chile)
2;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
2;movie;4154796;Avengers: Endgame;Vengadores: Endgame (Spain);Avengers: Endgame (Chile)
2;show;0108778;Friends;Friends (Spain);Friends (Argentina)
2;show;4052886;Lucifer;Lucifer (Spain);ND
2;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
3;movie;0319262;The Day After Tomorrow;El día de mañana (Spain);El día después de mañana (Argentina)
3;movie;0441773;Kung Fu Panda;Kung Fu Panda (Spain);Kung Fu Panda (Argentina)
3;movie;0881320;Sanctum;El santuario (Sanctum) (Spain);Sanctum (Argentina)
3;show;0944947;Game of Thrones;Juego de tronos (Spain);Game of Thrones (Chile)
3;show;0388629;One Piece;One Piece (Spain) (Gallegan title);One Piece (Chile)
3;show;6470478;The Good Doctor;The Good Doctor (Spain);ND
4;movie;0111161;The Shawshank Redemption;Cadena perpetua (Spain);Sueños de Libertad (Chile)
4;movie;0361748;Inglourious Basterds;Malditos bastardos (Spain);Bastardos sin gloria (Argentina)
4;movie;0137523;Fight Club;El club de la lucha (Spain);El club de la pelea (Argentina)
4;show;0386676;The Office;The Office (Spain);The Office (Argentina)
4;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
4;show;5820976;El marginal;El marginal (Spain);ND
5;movie;2119532;Hacksaw Ridge;Hasta el último hombre (Spain);Hasta el último hombre (Chile)
5;movie;1489889;Central Intelligence;Un espía y medio (Spain);Un espía y medio (Chile)
5;movie;7286456;Joker;Joker (Spain);Guasón (Chile)
5;show;0108778;Friends;Friends (Spain);Friends (Argentina)
5;show;0386676;The Office;The Office (Spain);The Office (Argentina)
5;show;3061046;Steven Universe;Steven Universe (Spain);ND
6;movie;0393162;Coach Carter;Entrenador Carter (Spain);Juego de honor (Argentina) (video title)
6;movie;0117705;Space Jam;Space Jam (Spain);Space Jam - El Juego del Siglo (Argentina)
6;movie;2380307;Coco;Coco (Spain);Coco (Chile)
6;show;0363328;Drake & Josh;Drake & Josh (Spain);ND
6;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
6;show;0168366;Pokémon;Pokémon (Spain);Pokémon (Chile)
7;movie;0068646;The Godfather;El padrino (Spain);El padrino (Chile)
7;movie;0071562;The Godfather: Part II;El padrí II (Spain) (Catalan title);El padrino II (Chile)
7;movie;0080684;Star Wars: Episode V - The Empire Strikes Back;Star Wars: Episodio V - El Imperio contraataca (Spain) (alternative title);El imperio contraataca (Chile)
7;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
7;show;0108778;Friends;Friends (Spain);Friends (Argentina)
7;show;1475582;Sherlock;Sherlock (Spain);ND
8;movie;2584384;Jojo Rabbit;Jojo Rabbit (Spain);Jojo Rabbit (Chile)
8;movie;1130884;Shutter Island;Shutter Island (Spain);La isla siniestra (Argentina)
8;movie;0816692;Interstellar;Interstellar (Spain);Interestelar (Chile)
8;show;6763664;The Haunting of Hill House;La maldición de Hill House (Spain);ND
8;show;1475582;Sherlock;Sherlock (Spain);ND
8;show;3398228;BoJack Horseman;BoJack Horseman (Spain);ND
9;movie;0078788;Apocalypse Now;Apocalypse Now (Spain);Apocalipsis Now (Argentina)
9;movie;1345836;The Dark Knight Rises;El caballero oscuro: La leyenda renace (Spain);Batman: El caballero de la noche asciende (Chile)
9;movie;0477348;No Country for Old Men;No es país para viejos (Spain);Sin lugar para los débiles (Argentina)
9;show;5753856;Dark;Dark (Spain);Dark (Argentina)
9;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
9;show;8289930;Formula 1: Drive to Survive;Fórmula 1: La emoción de un Grand Prix (Spain);Formula 1: Drive to Survive (Argentina)
10;movie;0317219;Cars;Cars (Spain);Cars (Argentina)
10;movie;0499549;Avatar;Avatar (Spain);Avatar (Argentina)
10;movie;2872718;Nightcrawler;Nightcrawler (Spain);Primicia mortal (Chile)
10;show;0455275;Prison Break;Prison Break (Spain);Prison Break (Argentina)
10;show;0096697;The Simpsons;Los Simpson (Spain);Los Simpson (Argentina)
10;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
11;movie;3460252;The Hateful Eight;Los odiosos ocho (Spain);Los 8 más odiados (Chile)
11;movie;0103874;Bram Stoker's Dracula;Drácula de Bram Stoker (Spain);Drácula, de Bram Stoker (Argentina)
11;movie;1188996;My Name Is Khan;Mi nombre es Khan (Spain);Mi nombre es Khan (Argentina)
11;show;8111088;The Mandalorian;The Mandalorian (Spain);ND
11;show;5180504;The Witcher;The Witcher (Spain);The Witcher (Argentina)
11;show;0363328;Drake & Josh;Drake & Josh (Spain);ND
12;movie;8946378;Knives Out;Puñales por la espalda (Spain);Entre navajas y secretos (Chile)
12;movie;4154756;Avengers: Infinity War;Vengadores: La guerra del infinito - 1ª parte (Spain) (alternative title);Avengers: Infinity War (Chile)
12;movie;1798684;Southpaw;Redención (Spain);Revancha (Chile)
12;show;6470478;The Good Doctor;The Good Doctor (Spain);ND
12;show;2442560;Peaky Blinders;Peaky Blinders (Spain);Peaky Blinders (Argentina)
12;show;1190634;The Boys;The Boys (Spain);The Boys (Argentina)
13;movie;0393162;Coach Carter;Entrenador Carter (Spain);Juego de honor (Argentina) (video title)
13;movie;0117705;Space Jam;Space Jam (Spain);Space Jam - El Juego del Siglo (Argentina)
13;movie;0105812;White Men Can't Jump;Los blancos no la saben meter (Spain);Los blancos no la saben meter (Argentina)
13;show;4474344;Blindspot;Blindspot (Spain);ND
13;show;1632701;Suits;Suits (Spain);La ley de los audaces (Argentina)
13;show;4181172;Shooter;El tirador (Spain);El tirador (Argentina)
14;movie;0137523;Fight Club;El club de la lucha (Spain);El club de la pelea (Argentina)
14;movie;9495224;Black Mirror: Bandersnatch;Black Mirror: Bandersnatch (Spain);ND
14;movie;0374900;Napoleon Dynamite;Napoleon Dynamite (Spain);Napoleon Dynamite - Un verano explosivo (Chile)
14;show;2359704;JoJo's Bizarre Adventure;JoJo no kimyô-na bôken (Spain);JoJo's Bizarre Adventure (Argentina)
14;show;9335498;Demon Slayer: Kimetsu No Yaiba;Demon Slayer: Kimetsu No Yaiba (Spain);ND
14;show;9458304;Dororo;ND;ND
15;movie;0468569;The Dark Knight;El caballero oscuro (Spain);Batman - El caballero de la noche (Argentina)
15;movie;0109830;Forrest Gump;Forrest Gump (Spain);Forrest Gump (Argentina)
15;movie;0111161;The Shawshank Redemption;Cadena perpetua (Spain);Sueños de Libertad (Chile)
15;show;0460649;How I Met Your Mother;Cómo conocí a vuestra madre (Spain);ND
15;show;0903747;Breaking Bad;Breaking Bad (Spain);ND
15;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
16;movie;6924650;Midway;Midway (Spain);Midway: Batalla en el Pacífico (Chile)
16;movie;8579674;1917;1917 (Spain);1917 (Chile) (Spanish title)
16;movie;2119532;Hacksaw Ridge;Hasta el último hombre (Spain);Hasta el último hombre (Chile)
16;show;2861424;Rick and Morty;Rick y Morty (Spain);Rick y Morty (Argentina)
16;show;1439629;Community;Community (Spain);Community (Argentina)
16;show;2467372;Brooklyn Nine-Nine;Brooklyn Nine-Nine (Spain);ND
17;movie;1727824;Bohemian Rhapsody;Bohemian Rhapsody (Spain);Bohemian Rhapsody, La historia de Freddie Mercury (Chile)
17;movie;6751668;Parasite;Parásitos (Spain);Parasite (Chile) (Spanish title)
